table_name,table_role,field_name,data_type,unit,nullable,key_role,foreign_key,semantic_meaning,data_classification,provenance_required,source_priority,derivation_rule,notes
attempts,canonical,driver_name,string,,yes,none,,Driver name for this attempt,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,Do not use as identifier
attempts,canonical,team_name,string,,yes,none,,Team name for this attempt,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,
attempts,canonical,car_attempt_index,integer,ordinal,yes,index,,Observed/reconstructed order within car and session,DERIVED_DETERMINISTIC,yes,official section order then reconciled replay,sort within entry using supported order evidence,Not global sequence
attempts,canonical,attempt_key,string,,yes,alternate key,,Stable natural key when car attempt index is known,DERIVED_DETERMINISTIC,no,system,session_id|entry_key|car_attempt_index,Null while within-car order unresolved
attempts,canonical,car_attempt_order_quality,enum,,no,none,,Quality of within-car ordering,MANUALLY_ANNOTATED,yes,field evidence,rule ORDER_QUALITY_V1,EXACT|BOUNDED|ORDERING_ONLY|UNKNOWN
attempts,canonical,global_order_lower_bound,integer,ordinal,yes,none,,Lowest defensible global attempt position,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,reconciled chronology,order constraint calculation,Equal bounds mean exact reconstructed order
attempts,canonical,global_order_upper_bound,integer,ordinal,yes,none,,Highest defensible global attempt position,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,reconciled chronology,order constraint calculation,No midpoint imputation
attempts,canonical,attempt_class,enum,,no,none,,Performance-evidence class,DERIVED_DETERMINISTIC,yes,canonical laps/sections/events,rule ATTEMPT_CLASS_V1,A_COMPLETE|B_PARTIAL_COMPLETE_LAPS|C_SECTION_ONLY|D_CHRONOLOGY_ONLY
attempts,canonical,official_status_raw,string,,yes,none,,Status text exactly as published,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,Do not normalize in place
attempts,canonical,result_status,enum,,no,none,,Normalized result disposition,MANUALLY_ANNOTATED,yes,official report then editorial,rule RESULT_STATUS_V1,VALID_RETAINED|VALID_SUPERSEDED|WITHDRAWN|WAVED_OFF|ABORTED|FAILED|RETIRED|DISALLOWED|INCOMPLETE|UNKNOWN
attempts,canonical,outcome_label,string,,yes,none,,Additional official state such as Bumped or On Bubble,RAW_OBSERVED,yes,OFFICIAL_REPORT then OFFICIAL_EDITORIAL,none,Separate from completion/validity
attempts,canonical,result_counted_at_session_end,boolean,,yes,none,,Whether result remained counted at Day 1 close,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,official final status/report,rule SESSION_END_RESULT_V1,Null if unresolved
attempts,canonical,four_lap_total_seconds,decimal,seconds,yes,none,,Official or validated reconstructed four-lap total,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,Reconstructed value classification may supersede through field evidence
attempts,canonical,four_lap_average_speed_mph,decimal,mph,yes,none,,Four-lap average speed,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT,none,Null for incomplete run
attempts,canonical,start_time_utc,datetime_utc,UTC,yes,none,,Best supported attempt start event time,RAW_OBSERVED,yes,official timing then THIRD_PARTY_CAPTURE,none,Timing71 normally approximate observed
attempts,canonical,end_time_utc,datetime_utc,UTC,yes,none,,Best supported attempt end event time,RAW_OBSERVED,yes,official timing then THIRD_PARTY_CAPTURE,none,Null if only order/bounds
attempts,canonical,event_time_lower_utc,datetime_utc,UTC,yes,none,,Earliest defensible attempt event time,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,all supported chronology,intersection of supported lower bounds,Use with bounded interval
attempts,canonical,event_time_upper_utc,datetime_utc,UTC,yes,none,,Latest defensible attempt event time,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,all supported chronology,intersection of supported upper bounds,Use with bounded interval
attempts,canonical,event_time_quality,enum,,no,none,,Historical time precision category,MANUALLY_ANNOTATED,yes,field evidence,rule EVENT_TIME_QUALITY_V1,EXACT_OBSERVED|APPROXIMATE_OBSERVED|BOUNDED_INTERVAL|ORDERING_ONLY|UNKNOWN
attempts,canonical,time_basis,enum,,yes,none,,Meaning of populated time,MANUALLY_ANNOTATED,yes,time source,rule TIME_BASIS_V1,OFFICIAL_EVENT_TIME|RECORDER_CAPTURE|EDITORIAL_DISPLAY|RECONSTRUCTED_BOUND|UNKNOWN
attempts,canonical,withdrawal_evidence,enum,,no,none,,Strength/type of withdrawal evidence,MANUALLY_ANNOTATED,yes,official event/report/editorial then capture,rule WITHDRAWAL_EVIDENCE_V1,DIRECTLY_OBSERVED_WITHDRAWAL|RECONSTRUCTED_WITHDRAWAL|EDITORIALLY_DOCUMENTED_WITHDRAWAL|INFERRED_WITHDRAWAL|UNKNOWN
attempts,canonical,lane_action,enum,,no,none,,Known action lane category,MANUALLY_ANNOTATED,yes,direct observation then official/editorial evidence,rule LANE_ACTION_V1,PRIORITY_LANE|NON_PRIORITY_LANE|UNKNOWN
attempts,canonical,lane_evidence,enum,,no,none,,Strength/type of lane evidence,MANUALLY_ANNOTATED,yes,direct observation then official/editorial evidence,rule LANE_EVIDENCE_V1,DIRECTLY_OBSERVED_PRIORITY_LANE|DIRECTLY_OBSERVED_NON_PRIORITY_LANE|EDITORIALLY_DOCUMENTED_LANE|INFERRED_LANE|UNKNOWN
attempts,canonical,requeue_evidence,enum,,no,none,,Strength/type of requeue evidence,MANUALLY_ANNOTATED,yes,direct event then reconstructed evidence,rule REQUEUE_EVIDENCE_V1,DIRECTLY_OBSERVED_REQUEUE|RECONSTRUCTED_REQUEUE|INFERRED_PROBABLE_REQUEUE|UNKNOWN
attempts,canonical,fuel_strategy_class,enum,,no,none,,Fuel-strategy confounder annotation,MANUALLY_ANNOTATED,yes,official reporting then supported chronology,rule FUEL_STRATEGY_V1,STANDARD_SINGLE_ATTEMPT_CONTEXT|SUSPECTED_CONSECUTIVE_ATTEMPT_STRATEGY|CONFIRMED_CONSECUTIVE_ATTEMPT_STRATEGY|UNKNOWN_FUEL_STRATEGY
attempts,canonical,source_native_locator,string,,yes,none,,Primary source row/frame locator used to seed identity,RAW_OBSERVED,yes,creating source,none,Audit locator not attempt sequence
attempt_laps,canonical,attempt_lap_id,uuid,,no,primary key,,Generated lap-row identifier,DERIVED_DETERMINISTIC,no,system,UUID on inclusion,
attempt_laps,canonical,attempt_id,uuid,,no,foreign key,attempts.attempt_id,Parent attempt,DERIVED_DETERMINISTIC,no,system,validated attempt join,
attempt_laps,canonical,source_report_lap_index,integer,source-native ordinal,yes,none,,Lap index printed in the official Section Report,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,Distinct from qualifying lap_number
attempt_laps,canonical,lap_number,integer,qualifying lap ordinal,no,unique within attempt,,Qualifying lap position 1-4,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,official Results/Section Results,attempt boundary mapping,Exclude cooldown/pit-return
attempt_laps,canonical,lap_completion_status,enum,,no,none,,Whether qualifying lap is complete,DERIVED_DETERMINISTIC,yes,lap/section evidence,rule LAP_COMPLETION_V1,COMPLETE|SECTION_ONLY|NOT_COMPLETED|UNKNOWN
attempt_laps,canonical,lap_time_seconds,decimal,seconds,yes,none,,Complete qualifying lap time,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT/Section Results,none,Reconstructed value requires evidence classification override
attempt_laps,canonical,lap_speed_mph,decimal,mph,yes,none,,Complete qualifying lap average speed,RAW_OBSERVED,yes,OFFICIAL_RAW then OFFICIAL_REPORT/Section Results,none,
attempt_laps,canonical,reconstruction_rule_id,string,,yes,none,,Versioned rule used to reconstruct lap,DERIVED_DETERMINISTIC,yes,rule registry,none,Required only for reconstructed lap
attempt_laps,canonical,reconstruction_validation_status,enum,,no,none,,Validation outcome for section-summed lap,DERIVED_DETERMINISTIC,yes,known complete official laps,rule SECTION_LAP_VALIDATION_V1,NOT_APPLICABLE|PASSED|FAILED|NOT_TESTED
attempt_sections,canonical,attempt_section_id,uuid,,no,primary key,,Generated section-row identifier,DERIVED_DETERMINISTIC,no,system,UUID on inclusion,
attempt_sections,canonical,attempt_id,uuid,,no,foreign key,attempts.attempt_id,Parent attempt,DERIVED_DETERMINISTIC,no,system,validated attempt join,
attempt_sections,canonical,attempt_lap_id,uuid,,yes,foreign key,attempt_laps.attempt_lap_id,Parent qualifying lap when identified,DERIVED_DETERMINISTIC,no,system,validated lap join,Null if lap assignment unresolved
attempt_sections,canonical,source_report_lap_index,integer,source-native ordinal,no,none,,Lap index printed in the official Section Report,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,Never treated as an attempt identifier
attempt_sections,canonical,source_report_lap_time_seconds,decimal,seconds,yes,none,,Lap time printed in the official Section Report when present,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,Null for partial rows or when the source lap-time cell is blank
attempt_sections,canonical,lap_number,integer,qualifying lap ordinal,yes,none,,Qualifying lap 1-4 when known,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,official section sequence,attempt/lap boundary mapping,Do not use continuous session lap counter directly
attempt_sections,canonical,section_set_version,string,,no,none,,Official section layout/version for year/report,MANUALLY_ANNOTATED,yes,OFFICIAL_REPORT header,rule SECTION_SET_V1,Required for comparability
attempt_sections,canonical,section_lap_coverage_status,enum,,no,none,,Coverage and validation state of the parent source-report lap,DERIVED_DETERMINISTIC,yes,official section rows plus frozen validation rule,rule SECTION_COVERAGE_V2,PARTIAL_OBSERVATION|COMPLETE_CANDIDATE|VALIDATED_COMPLETE|VALIDATION_FAILED
attempt_sections,canonical,section_sequence_index,integer,ordinal,no,none,,Non-overlapping official section order,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,Must match section set
attempt_sections,canonical,section_name,string,,no,none,,Official section label,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,
attempt_sections,canonical,start_timing_point,string,,yes,none,,Official section start marker,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,
attempt_sections,canonical,end_timing_point,string,,yes,none,,Official section end marker,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,
attempt_sections,canonical,section_time_seconds,decimal,seconds,yes,none,,Observed section duration,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,
attempt_sections,canonical,section_speed_mph,decimal,mph,yes,none,,Observed section speed,RAW_OBSERVED,yes,OFFICIAL_REPORT,none,
attempt_sections,canonical,full_lap_coverage_member,boolean,,no,none,,Whether section belongs to validated complete-lap coverage set,DERIVED_DETERMINISTIC,yes,section-set rule,rule SECTION_COVERAGE_V1,Does not itself make lap complete
chronology_events,canonical,chronology_event_id,uuid,,no,primary key,,Generated chronology-event identifier,DERIVED_DETERMINISTIC,no,system,UUID on inclusion,
chronology_events,canonical,session_id,string,,no,foreign key,qualifying_events.session_id,Parent session,DERIVED_DETERMINISTIC,no,system,validated session join,
chronology_events,canonical,attempt_id,uuid,,yes,foreign key,attempts.attempt_id,Related attempt when identified,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,chronology reconciliation,attempt/event matching rule,Null for session events
chronology_events,canonical,entry_key,string,,yes,index,,Related entry when identified,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,event/car evidence,entry-key rule,May exist without attempt link
chronology_events,canonical,event_type,enum,,no,none,,Type of chronological fact,MANUALLY_ANNOTATED,yes,event evidence,rule CHRONOLOGY_EVENT_V1,ATTEMPT_START|ATTEMPT_END|TIMED_RUN_END|QUALIFIER_CAPTURE|ATTEMPT_EVENT_ANCHOR|SESSION_BOUNDARY|PIT_OUT|PIT_IN|WITHDRAWAL|REQUEUE|LANE_SELECTION|FLAG_CHANGE|SESSION_STOP|SESSION_RESUME|COVERAGE_GAP|LEADERBOARD_SNAPSHOT|QUEUE_FACT|STATUS_FACT
chronology_events,canonical,event_time_utc,datetime_utc,UTC,yes,none,,Best supported event time,RAW_OBSERVED,yes,official event time then capture/editorial,none,Null for bounds/order only
chronology_events,canonical,event_time_lower_utc,datetime_utc,UTC,yes,none,,Earliest defensible event time,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,event evidence,lower-bound rule,
chronology_events,canonical,event_time_upper_utc,datetime_utc,UTC,yes,none,,Latest defensible event time,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,event evidence,upper-bound rule,
chronology_events,canonical,event_time_quality,enum,,no,none,,Historical time precision,MANUALLY_ANNOTATED,yes,event evidence,rule EVENT_TIME_QUALITY_V1,EXACT_OBSERVED|APPROXIMATE_OBSERVED|BOUNDED_INTERVAL|ORDERING_ONLY|UNKNOWN
chronology_events,canonical,time_basis,enum,,yes,none,,Meaning/origin of event timestamp,MANUALLY_ANNOTATED,yes,event evidence,rule TIME_BASIS_V1,OFFICIAL_EVENT_TIME|RECORDER_CAPTURE|EDITORIAL_DISPLAY|RECONSTRUCTED_BOUND|UNKNOWN
chronology_events,canonical,event_order_lower_bound,integer,ordinal,yes,none,,Lowest defensible session event order,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,chronology constraints,order-bound calculation,
chronology_events,canonical,event_order_upper_bound,integer,ordinal,yes,none,,Highest defensible session event order,RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE,yes,chronology constraints,order-bound calculation,
chronology_events,canonical,withdrawal_evidence,enum,,no,none,,Withdrawal evidence for event,MANUALLY_ANNOTATED,yes,event evidence,rule WITHDRAWAL_EVIDENCE_V1,DIRECTLY_OBSERVED_WITHDRAWAL|RECONSTRUCTED_WITHDRAWAL|EDITORIALLY_DOCUMENTED_WITHDRAWAL|INFERRED_WITHDRAWAL|UNKNOWN
chronology_events,canonical,requeue_evidence,enum,,no,none,,Requeue evidence for event,MANUALLY_ANNOTATED,yes,event evidence,rule REQUEUE_EVIDENCE_V1,DIRECTLY_OBSERVED_REQUEUE|RECONSTRUCTED_REQUEUE|INFERRED_PROBABLE_REQUEUE|UNKNOWN
chronology_events,canonical,lane_action,enum,,no,none,,Lane category when supported,MANUALLY_ANNOTATED,yes,event evidence,rule LANE_ACTION_V1,PRIORITY_LANE|NON_PRIORITY_LANE|UNKNOWN
chronology_events,canonical,lane_evidence,enum,,no,none,,Lane evidence category,MANUALLY_ANNOTATED,yes,event evidence,rule LANE_EVIDENCE_V1,DIRECTLY_OBSERVED_PRIORITY_LANE|DIRECTLY_OBSERVED_NON_PRIORITY_LANE|EDITORIALLY_DOCUMENTED_LANE|INFERRED_LANE|UNKNOWN
chronology_events,canonical,queue_state_evidence,enum,,no,none,,Queue-fact observability category,MANUALLY_ANNOTATED,yes,event evidence,rule QUEUE_STATE_EVIDENCE_V1,OBSERVED_QUEUE_FACT|PARTIAL_QUEUE_FACT|INFERRED_QUALITATIVE_STATE|UNKNOWN
chronology_events,canonical,queue_fact_text,string,,yes,none,,Literal observed/qualified queue fact without invented precision,RAW_OBSERVED,yes,direct/editorial source,none,No default numeric exact queue fields
chronology_events,canonical,event_payload_json,json,,yes,none,,Source-specific event detail retained without canonical promotion,RAW_OBSERVED,yes,event source,none,Not authoritative over normalized fields
forecast_snapshots,canonical,forecast_snapshot_id,string,,no,primary key,,Stable forecast cycle/spatial/valid-time snapshot identity,DERIVED_DETERMINISTIC,no,system,provider|model|cycle|location|valid interval,
forecast_snapshots,canonical,session_id,string,,no,foreign key,qualifying_events.session_id,Research session for alignment,DERIVED_DETERMINISTIC,no,system,date/location join,Does not imply decision-time eligibility
forecast_snapshots,canonical,source_id,string,,no,foreign key,sources.source_id,Forecast archive source,DERIVED_DETERMINISTIC,no,system,source registration,
forecast_snapshots,canonical,provider,string,,no,none,,Forecast provider,RAW_OBSERVED,yes,forecast metadata,none,NOAA primary
forecast_snapshots,canonical,model_name,string,,no,none,,Forecast model/product name,RAW_OBSERVED,yes,forecast metadata,none,HRRR primary; NWS/MOS supplementary
forecast_snapshots,canonical,model_version,string,,yes,none,,Model version when known,RAW_OBSERVED,yes,official model metadata,none,
forecast_snapshots,canonical,issue_time_utc,datetime_utc,UTC,no,none,,Forecast model cycle or initialization time,RAW_OBSERVED,yes,forecast metadata,none,Distinct from public availability time
forecast_snapshots,canonical,availability_time_utc,datetime_utc,UTC,yes,none,,Earliest supported public availability time,RAW_OBSERVED,yes,archive/product metadata,none,Unknown availability cannot pass a state join
forecast_snapshots,canonical,availability_time_quality,enum,,no,none,,Availability certainty,MANUALLY_ANNOTATED,yes,archive evidence,rule FORECAST_AVAILABILITY_V1,EXACT_OBSERVED|APPROXIMATE_OBSERVED|BOUNDED_INTERVAL|UNKNOWN
forecast_snapshots,canonical,valid_start_utc,datetime_utc,UTC,no,none,,Forecast validity start,DERIVED_DETERMINISTIC,no,system,cycle time plus forecast lead,Supplied valid time retained as corroborating evidence
forecast_snapshots,canonical,valid_end_utc,datetime_utc,UTC,no,none,,Forecast validity end,DERIVED_DETERMINISTIC,no,system,cycle time plus forecast lead,Equal times allowed for instantaneous field
forecast_snapshots,canonical,forecast_lead_hours,decimal,hours,no,none,,Valid time minus issue time,DERIVED_DETERMINISTIC,no,system,valid reference time minus issue time,Positive lead preferred
forecast_snapshots,canonical,location_type,enum,,no,none,,Grid or station representation,RAW_OBSERVED,yes,forecast metadata,none,GRID_POINT|STATION|ZONE|TEXT_PRODUCT
forecast_snapshots,canonical,spatial_locator,string,,no,none,,Grid point station zone or text-product locator,RAW_OBSERVED,yes,forecast metadata,none,
forecast_snapshots,canonical,latitude,decimal,degrees_north,yes,none,,Grid/station latitude,RAW_OBSERVED,yes,forecast metadata,none,
forecast_snapshots,canonical,longitude,decimal,degrees_east,yes,none,,Grid/station longitude,RAW_OBSERVED,yes,forecast metadata,none,Western longitude negative
forecast_snapshots,canonical,extraction_metadata_json,json,,yes,none,,Subset extraction raw/derived inventory source row and availability-policy status,RAW_OBSERVED,yes,extraction log,none,
weather_forecasts,canonical,weather_forecast_value_id,uuid,,no,primary key,,Stable variable-value row identifier,DERIVED_DETERMINISTIC,no,system,UUID on snapshot and variable,
weather_forecasts,canonical,forecast_snapshot_id,string,,no,foreign key,forecast_snapshots.forecast_snapshot_id,Parent normalized forecast snapshot,DERIVED_DETERMINISTIC,no,system,validated snapshot join,
weather_forecasts,canonical,variable_code,string,,no,unique within snapshot,,Preserved source or derived variable name,RAW_OBSERVED,yes,forecast metadata,none,Examples TMP_2m UGRD_10m temp_c
weather_forecasts,canonical,value_numeric,decimal,variable unit,yes,none,,Numeric forecast value,RAW_OBSERVED or DERIVED_DETERMINISTIC,yes,forecast data or versioned derivation,variable-specific rule,Primary provenance distinguishes raw and derived
weather_forecasts,canonical,value_text,string,,yes,none,,Categorical/narrative forecast value,RAW_OBSERVED,yes,forecast data,none,
weather_forecasts,canonical,unit,string,,yes,none,,Published/canonical value unit,RAW_OBSERVED,yes,forecast metadata,none,Required for Phase 4A numeric values
sources,support,source_id,string,,no,primary key,,Stable registered source identifier,DERIVED_DETERMINISTIC,no,system,slug plus version/date where needed,
sources,support,source_name,string,,no,none,,Human-readable source name,MANUALLY_ANNOTATED,yes,source catalog,source registration,
sources,support,source_type,string,,no,none,,Source family/report type,MANUALLY_ANNOTATED,yes,source catalog,controlled source taxonomy,
sources,support,evidence_quality,enum,,no,none,,Evidence-quality tier,MANUALLY_ANNOTATED,yes,source identity,rule EVIDENCE_QUALITY_V1,OFFICIAL_RAW|OFFICIAL_REPORT|OFFICIAL_EDITORIAL|THIRD_PARTY_CAPTURE|REPUTABLE_EDITORIAL|SECONDARY_COMPILATION|COMMUNITY_CLAIM
sources,support,source_priority_rank,integer,priority ordinal,no,none,,Default evidence hierarchy rank,DERIVED_DETERMINISTIC,no,system,map evidence quality 1-5,Field specificity may alter conflict decision
sources,support,source_uri,string,,yes,none,,Public URL or stable local artifact locator,RAW_OBSERVED,yes,source catalog,none,
sources,support,content_hash,string,SHA-256,yes,none,,Artifact integrity hash,DERIVED_DETERMINISTIC,no,system,SHA-256 of retrieved bytes,Recommended for files
sources,support,retrieved_at_utc,datetime_utc,UTC,yes,none,,Retrieval timestamp,RAW_OBSERVED,yes,retrieval log,none,Not event time
sources,support,coverage_note,string,,yes,none,,Known source scope/gap note,MANUALLY_ANNOTATED,yes,audit evidence,review note,
evidence_items,support,evidence_item_id,uuid,,no,primary key,,Stable citable evidence-unit identifier,DERIVED_DETERMINISTIC,no,system,UUID on registration,
evidence_items,support,source_id,string,,no,foreign key,sources.source_id,Parent source,DERIVED_DETERMINISTIC,no,system,validated source join,
evidence_items,support,source_native_locator,string,,no,none,,Page/row/frame/message/passage locator,RAW_OBSERVED,yes,source structure,none,Must allow reinspection
evidence_items,support,captured_value_text,string,,yes,none,,Verbatim or serialized source value within quotation limits,RAW_OBSERVED,yes,source item,none,Preserve formatting needed for audit
evidence_items,support,source_timestamp_utc,datetime_utc,UTC,yes,none,,Raw timestamp attached to the source/capture item,RAW_OBSERVED,yes,source item,none,Never silently promoted to event time
evidence_items,support,source_timestamp_basis,enum,,yes,none,,Meaning of source timestamp,MANUALLY_ANNOTATED,yes,source metadata,rule TIME_BASIS_V1,OFFICIAL_EVENT_TIME|RECORDER_CAPTURE|PUBLICATION_TIME|EDITORIAL_DISPLAY|MODEL_CYCLE|UNKNOWN
evidence_items,support,review_note,string,,yes,none,,Reviewer clarification of source item,MANUALLY_ANNOTATED,yes,review process,annotation rule version,Does not replace captured value
field_evidence_links,support,field_evidence_link_id,uuid,,no,primary key,,Evidence assertion identifier,DERIVED_DETERMINISTIC,no,system,UUID on creation,
field_evidence_links,support,entity_table,enum,,no,logical foreign key,,Target table,DERIVED_DETERMINISTIC,no,system,validated table allow-list,QUALIFYING_EVENTS|ATTEMPTS|ATTEMPT_LAPS|ATTEMPT_SECTIONS|CHRONOLOGY_EVENTS|CHRONOLOGY_CONSTRAINTS|FORECAST_SNAPSHOTS|WEATHER_FORECASTS|DECISION_STATE_FEATURES
field_evidence_links,support,entity_id,string,,no,logical foreign key,target entity primary key,Target row identifier,DERIVED_DETERMINISTIC,no,system,validated logical join,Composite weather key serialized canonically
field_evidence_links,support,field_name,string,,no,logical foreign key,data dictionary field,Target field name,DERIVED_DETERMINISTIC,no,system,validate against dictionary,
field_evidence_links,support,evidence_item_id,uuid,,yes,foreign key,evidence_items.evidence_item_id,Supporting evidence unit,DERIVED_DETERMINISTIC,no,system,validated evidence join,May be null only for reproducible deterministic derivation
field_evidence_links,support,value_classification,enum,,no,none,,Exactly one classification for this asserted value,MANUALLY_ANNOTATED,yes,evidence and rule,rule VALUE_CLASSIFICATION_V1,RAW_OBSERVED|RECONSTRUCTED_FROM_OFFICIAL_EVIDENCE|DERIVED_DETERMINISTIC|INFERRED_UNCERTAIN|MANUALLY_ANNOTATED|UNAVAILABLE
field_evidence_links,support,is_primary,boolean,,no,none,,Whether assertion supplies current canonical value,MANUALLY_ANNOTATED,yes,conflict resolution,rule FIELD_PRIMARY_V1,At most one primary per entity field
field_evidence_links,support,conflict_disposition,enum,,no,none,,Role in evidence conflict,MANUALLY_ANNOTATED,yes,conflict review,rule CONFLICT_V1,PRIMARY|CORROBORATING|CONFLICTING_UNRESOLVED|SUPERSEDED|REJECTED_WITH_REASON
field_evidence_links,support,derivation_rule_id,string,,yes,none,,Versioned reconstruction/derivation/annotation rule,DERIVED_DETERMINISTIC,no,rule registry,none,Required for non-raw computed values
field_evidence_links,support,derivation_rule_version,string,,yes,none,,Frozen version of reconstruction derivation or annotation rule,DERIVED_DETERMINISTIC,no,rule registry,none,Required with derivation_rule_id
field_evidence_links,support,input_lineage_json,json,,yes,none,,Serialized reproducible input lineage,DERIVED_DETERMINISTIC,no,canonical inputs,rule LINEAGE_V1,Required for deterministic derivation
field_evidence_links,support,input_entity_field_refs_json,json,,yes,none,,Canonical input entity and field references,DERIVED_DETERMINISTIC,no,canonical inputs,rule LINEAGE_V1,Required for deterministic derivation
field_evidence_links,support,input_snapshot_hash,string,SHA-256,yes,none,,Optional hash of exact serialized derivation inputs,DERIVED_DETERMINISTIC,no,canonical inputs,SHA-256,
field_evidence_links,support,uncertainty_note,string,,yes,none,,Precision/assumption/conflict explanation,MANUALLY_ANNOTATED,yes,evidence review,annotation rule,Required for inferred values
field_evidence_links,support,reviewer_id,string,,yes,none,,Reviewer for manual annotation/resolution,RAW_OBSERVED,yes,review log,none,Required for manual annotation
field_evidence_links,support,recorded_at_utc,datetime_utc,UTC,no,none,,Assertion creation time,RAW_OBSERVED,yes,system audit log,none,Not historical event time
row_eligibility,support,entity_type,enum,,no,primary key component,,Entity grain being evaluated,DERIVED_DETERMINISTIC,no,system,validated allow-list,ATTEMPT|LAP|SECTION|CHRONOLOGY_EVENT
row_eligibility,support,entity_id,string,,no,primary key component,logical entity primary key,Evaluated row identifier,DERIVED_DETERMINISTIC,no,system,validated logical join,
